,category,index,category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,assignable,trending_year,trending_month,trending_day,publish_year,publish_month,publish_day,publish_hour
0,Autos & Vehicles,38614.357142857145,2.0,641975.5714285715,13531.142857142857,1048.357142857143,1815.2857142857142,0.07142857142857142,0.0,0.0,1.0,2017.2857142857142,8.785714285714286,17.0,2017.2142857142858,8.571428571428571,13.0,13.857142857142858
1,Comedy,31679.49019607843,23.0,979973.3774509804,40667.14705882353,1229.8921568627452,4948.941176470588,0.0,0.0,0.0,1.0,2017.6225490196077,6.1911764705882355,15.78921568627451,2017.4313725490197,5.965686274509804,15.42156862745098,10.269607843137255
2,Education,33925.08108108108,27.0,321755.5675675676,17078.054054054053,453.97297297297297,1940.3783783783783,0.02702702702702703,0.0,0.0,1.0,2017.5135135135135,6.621621621621622,16.43243243243243,2017.1891891891892,6.54054054054054,13.621621621621621,13.756756756756756
3,Entertainment,5784.8358556461,24.0,1084789.6565774155,38381.98952270082,3254.4947613504073,6394.463329452852,0.027939464493597205,0.002328288707799767,0.0011641443538998836,1.0,2017.6775320139698,5.719441210710128,15.10244470314319,2017.6111757857975,5.749708963911525,14.40395809080326,12.60884749708964
4,Film & Animation,35322.649746192896,1.0,963908.0507614213,21949.776649746193,1081.9035532994924,2672.776649746193,0.025380710659898477,0.03553299492385787,0.005076142131979695,1.0,2017.781725888325,4.898477157360406,16.18274111675127,2017.7005076142132,4.883248730964467,15.182741116751268,13.157360406091371
5,Gaming,37562.395348837206,20.0,508998.12790697673,19621.662790697676,692.9593023255813,2459.6279069767443,0.029069767441860465,0.005813953488372093,0.0,1.0,2017.6162790697674,6.290697674418604,15.116279069767442,2017.593023255814,6.459302325581396,14.924418604651162,13.622093023255815
6,Howto & Style,715.0684210526316,26.0,284976.9052631579,14012.384210526316,394.4736842105263,2099.2157894736843,0.0,0.0,0.0,1.0,2017.4684210526316,6.926315789473684,15.66842105263158,2017.421052631579,6.984210526315789,15.457894736842105,15.257894736842106
7,Music,16352.205479452055,10.0,2679270.8025114154,128551.88698630137,3731.6415525114157,12057.219178082192,0.005707762557077625,0.00228310502283105,0.003424657534246575,1.0,2017.6963470319636,5.61986301369863,15.657534246575343,2017.5707762557079,5.6632420091324205,14.914383561643836,12.176940639269406
8,News & Politics,27257.69291338583,25.0,426479.53543307085,9168.787401574804,1075.5196850393702,3159.8976377952754,0.03937007874015748,0.0,0.0,1.0,2017.5984251968505,6.188976377952756,16.64566929133858,2017.5984251968505,6.102362204724409,15.88976377952756,12.755905511811024
9,People & Blogs,29124.36971830986,22.0,554470.3626760563,21598.672535211266,1637.1514084507041,3404.457746478873,0.007042253521126761,0.007042253521126761,0.0,1.0,2017.5211267605634,6.78169014084507,15.598591549295774,2017.3169014084508,7.116197183098592,14.971830985915492,14.419014084507042
10,Pets & Animals,33402.87804878049,15.0,365185.85365853657,12874.585365853658,239.85365853658536,1272.8292682926829,0.0,0.0,0.0,1.0,2017.8048780487804,4.073170731707317,17.29268292682927,2017.7317073170732,4.634146341463414,16.21951219512195,15.975609756097562
11,Science & Technology,32867.642857142855,28.0,1104781.880952381,28523.095238095237,1337.8333333333333,4740.738095238095,0.047619047619047616,0.023809523809523808,0.0,1.0,2017.357142857143,7.9523809523809526,17.071428571428573,2017.3333333333333,7.904761904761905,16.095238095238095,13.666666666666666
12,Sports,25685.910798122066,17.0,548022.5164319249,12046.69014084507,598.8920187793427,1776.18779342723,0.014084507042253521,0.004694835680751174,0.0,1.0,2017.6150234741783,6.131455399061033,15.80281690140845,2017.5023474178404,6.258215962441315,15.272300469483568,11.80281690140845
13,Travel & Events,38741.9,19.0,443499.0,6398.1,227.2,865.9,0.0,0.0,0.0,1.0,2017.7,4.4,14.7,2017.1,5.2,17.0,10.8
